Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
7475013480,600000,0.126,0,0,1054.0,1809,1.0,6,5,0,1,1,1,0,0,1,1.5,4,2.0,1988
7475016280,205000,0.1432,0,0,1054.0,660,1.0,6,4,0,0,0,1,0,1,0,1.0,2,1.0,1970
7475017120,360000,0.1377,0,0,1054.0,1872,1.0,6,4,0,0,0,0,0,0,1,1.0,4,1.75,1992
7475020190,480000,0.1992,0,0,1054.0,1502,1.0,6,5,0,1,1,1,1,0,1,1.0,4,2.0,1980
7475020210,290000,0.1423,0,0,1054.0,1719,1.0,6,4,0,0,0,0,0,0,0,1.0,2,2.0,1978
7475020880,375000,0.1342,0,0,1054.0,1669,1.0,6,4,0,0,0,0,0,0,0,1.0,3,1.75,1978
7475020920,325000,0.1939,0,0,1054.0,1115,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.0,1974
7475021440,304500,0.1119,0,0,1054.0,1425,1.0,6,4,0,0,0,0,0,0,0,1.5,3,1.0,1980
7475021840,266200,0.0994,0,0,1054.0,860,1.0,6,4,0,0,0,1,0,0,0,1.0,2,1.0,1995
7475022710,240000,0.1377,0,0,1054.0,1442,0.45,6,4,0,0,0,1,0,0,2,1.0,2,1.0,1972
